id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_pendidikan,jumlah,satuan,tahun
32142018,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,"PERGURUAN 
TINGGI",0,KORBAN,2018
32142018,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,TK,0,KORBAN,2018
32142018,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,PAUD,0,KORBAN,2018
32142018,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,NA,10,KORBAN,2018
32142018,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,"TIDAK 
SEKOLAH",0,KORBAN,2018
32142018,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,SD,1,KORBAN,2018
32142018,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,SLTP,0,KORBAN,2018
32142018,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,SLTA,3,KORBAN,2018
32142018,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,"PERGURUAN 
TINGGI",0,KORBAN,2018
32142018,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,TK,0,KORBAN,2018
